Date,ID,Tweet
31/05/2020 02:56,1.38E+18,@ChannSingh083 @jot_sohal4 @navneetkaursoh3 @monajathoul @Gurpreet_pb02_ @John_Wick_pb65 @__SaNDhU_saab @Harpree18078555 @Tractor2twitr @sohi45554321 True ji \n#StopHateAgainstFarmers\n#FarmersProtest 
01/06/2020 02:56,1.38E+18,Interestingly and perhaps not altogether surprisingly there are some people who disregard the ones who feed them. Instead they are busy defending the oppressors\u2014the scammers who are after everyone\u2019s food. #StopHateAgainstFarmers #FarmersProtest https://t.co/bvEMLfmQaS
02/06/2020 02:56,1.38E+18,Had your meal \ud83e\udd57 \ud83c\udf5b ? Thank a farmer. \n\nSpeak up against oppression of FARMERS in India\n\n#FarmersProtest\n\n 03:14:09 
03/06/2020 02:57,1.38E+18,If we don't get protein our body will die If the soil is not fertile there is no crop If the farmer does not get the value of the crop
04/06/2020 02:57,1.38E+18,@dil_di_awaz True\n#StopHateAgainstFarmers\n#FarmersProtest 
05/06/2020 02:58,1.38E+18,Sikhexpo on instagram posting in support of violence against Hindus in Bangladesh #sikh #farmersprotest #bangladesh #hinduphobia https://t.co/JsB2aWo4JI https://t.co/xrudJGivi1 
06/06/2020 02:58,1.38E+18,That is not fair because the loser govt we chose is biased towards those losers  #StopHateAgainstFarmers\n#FarmersProtest https://t.co/c4sLPpfdxM 
07/06/2020 02:58,1.38E+18,No government wants their citizens to be well informed for when the citizens r well informed and start thinking for themselves governments will have nothing to do\n#StopHateAgainstFarmers \n#FarmersProtest
08/06/2020 02:59,1.38E+18,This is the Case... Crooked Corporates are always Left Free to EXPLOIT profitable Situations whereas Our Farmers.. the Beautiful Innocent Soul are HAMMERED/CRUSHED... THINK and STAND with FARMERS #StopHateAgainstFarmers #FarmersProtest https://t.co/zGhPiXZUJ3 
09/06/2020 02:59,1.38E+18,The problem of the farmers has not been solved till date.\nModi is not ready to talk about farmers\n\n#StopHateAgainstFarmers\n#FarmersProtest https://t.co/Aa34Bt2S1o 
10/06/2020 02:59,1.38E+18,Today we need to save our Farmers from oppressions.. #FarmersProtest #StopHateAgainstFarmers https://t.co/k06BhRcYYg 
11/06/2020 03:00,1.38E+18,The farmer has been struggling for 4 months. More than 300 were killed Then they sit quietly #\u0938\u0930\u0915\u093e\u0930_MSP_\u0915\u0947\u0902\u0926\u094d\u0930_\u0916\u094b\u0932\u094b #StopHateAgainstFarmers #FarmersProtest https://t.co/RU3ZqvxnUC 
12/06/2020 03:00,1.38E+18,#ModiLies #modisarkar his corrupt repressive  regime  must be overthrown.\n\n#FarmersProtest \ud83c\udf3e\ud83d\ude9c\u270a\n#PMModi must stop \ud83d\uded1 \ud83d\udc47\n#StopHateAgainstFarmers https://t.co/dxrFkSY2mf https://t.co/ogLr6hF0A4
13/06/2020 03:01,1.38E+18,#StopHateAgainstFarmers seeing their courage doubles our courage We are confident that we will win this war ...... #FarmersProtest https://t.co/WoelFeoY8g 
14/06/2020 03:01,1.38E+18,We can fight hatred with love #\u0938\u0930\u0915\u093e\u0930_MSP_\u0915\u0947\u0902\u0926\u094d\u0930_\u0916\u094b\u0932\u094b #StopHateAgainstFarmers #FarmersProtest https://t.co/mIRAhPoHy5 
15/06/2020 03:01,1.38E+18,After so much hate and facing oppressions  peace and love still only exists in the hearts our Farmers. #FarmersProtest #StopHateAgainstFarmers https://t.co/idyovRRhKZ
16/06/2020 03:02,1.38E+18,#StopHateAgainstFarmers we are citizen of India stop treating us like enemies. No Farmer No Food. #FarmersProtest https://t.co/3oQuYZS32V 
17/06/2020 03:02,1.38E+18,Andhbhakts answer awaited!! \n#GoBackModi \n#\u092e\u094b\u0926\u0940_\u091d\u0942\u0920\u093e_\u0939\u0948 \n#LieLikeModi \n#NoVoteTo_LiarModi \n#FarmersProtest https://t.co/foW9Jn29R9 
18/06/2020 03:02,1.38E+18,@sandhu94717 Stop Lying about Farmers\u270a\nStop Insulting Farmers\u270a\nStop Labelling them as T\u00e9rr\u00f3rist\u270a\n#FarmersProtest\n#StopHateAgainstFarmers 
19/06/2020 03:03,1.38E+18,In a country where the government hates farmers there can be no democracy #\u0938\u0930\u0915\u093e\u0930_MSP_\u0915\u0947\u0902\u0926\u094d\u0930_\u0916\u094b\u0932\u094b #StopHateAgainstFarmers #FarmersProtest https://t.co/8MhYx9drTY
20/06/2020 03:03,1.38E+18,How different is this from #BlackLivesMatter these people are marginal farmers trying to protect their rights #FarmersProtest #humanrights4indianfarmers @DahgMahn @AlmeidaJugnu @SSsandhu1 @Morning_Ag @KristinAtPAN @MargaretatPAN @EmilyAtPA @GrassrootsIntl @GRAIN_org https://t.co/PswM36DsjR 
21/06/2020 03:03,1.38E+18,@jimsciutto @Mets Did you talk about the #FarmersProtest?? 
22/06/2020 03:04,1.38E+18,Well said\n\n#StopHateAgainstFarmers\n#FarmersProtest https://t.co/DyCTEum5Jk 
23/06/2020 03:04,1.38E+18,@HansrajMeena The hate exists because Modi wants to make easy money by selling farmers to corporate goons. And to do this he has thrown the Sikh vs. Hindu virus in the mixture to DISTRACT people from focusing on the real shit he is trying to pull.\n\n#StopHateAgainstFarmers\n#FarmersProtest 
24/06/2020 03:05,1.38E+18,A system is corrupt when it is strictly profit driven and not driven to serve the best interests of its people \n#StopHateAgainstFarmers \n#FarmersProtest 
25/06/2020 03:05,1.38E+18,Farming is not a Job Its a way of life #FarmersProtest #StopHateAgainstFarmers https://t.co/vlKLr5ImEf 
26/06/2020 03:05,1.38E+18,Farming is not just a job.. it's a way of life #FarmersProtest https://t.co/8Jc63Xu4eT 
27/06/2020 03:06,1.38E+18,The country is changing in Sahib's speechesBut in reality the country is being sold! #Desh_Ka_Gaddar_RSS Traitor will always be a traitor #\u0938\u0930\u0915\u093e\u0930_MSP_\u0915\u0947\u0902\u0926\u094d\u0930_\u0916\u094b\u0932\u094b #StopHateAgainstFarmers #FarmersProtest https://t.co/rH4bS8nenB
28/06/2020 03:06,1.38E+18,Did you know farmers in India continue to live &amp; die in debt while the likes of ambani/adani get richer?! How is that fair?\n\n#StopHateAgainstFarmers\n#FarmersProtest  \n#StopAsianHate #StopAAPIHate\n https://t.co/OIbbCw40ff 
29/06/2020 03:06,1.38E+18,Go back modi\n#FarmersProtest \n#StopHateAgainstFarmers https://t.co/pVgbMibkxs 
